    ,rate
50857,4.0
50855,4.0
50854,4.0
50853,3.5
50852,3.0
50851,3.0
50850,1.0
50849,4.0
50848,4.0
50847,3.5
50845,4.0
50844,5.0
50843,5.0
50840,3.5
50839,3.0
50838,2.5
50837,4.5
50834,4.0
50833,4.0
50831,4.5
50830,3.0
50829,3.5
50828,4.0
50827,4.0
50826,5.0
50824,4.0
50823,4.0
50822,4.0
50821,2.0
50819,3.5
50818,3.0
50817,3.0
50815,3.0
50814,4.0
50813,3.0
50812,3.0
50810,4.0
50809,4.0
50808,4.0
50807,4.0
50806,3.0
50805,3.5
50802,3.5
50801,1.0
50800,3.5
50799,5.0
50798,5.0
50793,4.0
50792,3.0
50791,4.5
50789,5.0
50787,4.5
50785,4.0
50783,2.5
50782,3.0
50781,5.0
50779,4.0
50777,3.0
50776,3.0
50774,5.0
50773,5.0
50772,4.0
50771,4.0
50770,2.0
50769,3.5
50768,4.0
50766,5.0
50765,1.5
50764,4.0
50763,2.0
50762,4.0
50761,4.0
50760,5.0
50759,4.0
50758,4.0
50757,2.0
50756,4.0
50755,4.0
50754,3.5
50753,5.0
50752,4.5
50751,4.0
50749,3.0
50748,4.5
50747,3.5
50746,4.5
50745,5.0
50744,4.5
50743,3.0
50742,3.5
50741,4.0
50740,2.0
50739,4.5
50738,3.0
50737,4.0
50736,2.5
50734,4.0
50733,4.0
50732,4.0
50731,4.0
50730,4.0
50729,2.0
50728,5.0
50727,4.0
50726,4.0
50724,3.0
50723,2.0
50721,4.0
50720,3.0
50717,2.5
50715,1.5
50713,3.0
50712,3.0
50711,4.0
50709,2.0
50708,4.0
50707,1.0
50705,3.0
50704,4.0
50701,3.5
50700,2.5
50699,3.0
50698,4.5
50697,4.0
50696,3.0
50694,3.0
50693,4.0
50692,4.0
50691,4.0
50690,2.5
50689,5.0
50686,4.5
50685,3.0
50684,4.0
50683,2.0
50682,2.0
50681,3.0
50680,3.0
50679,3.0
50678,2.0
50677,4.5
50676,4.0
50675,2.5
50674,4.0
50673,4.0
50671,5.0
50670,3.0
50669,3.0
50668,4.0
50667,4.0
50666,4.5
50665,5.0
50664,4.5
50662,3.0
50661,5.0
50660,4.0
50659,3.0
50658,1.0
50657,3.5
50656,4.5
50655,4.0
50654,3.0
50653,3.5
50652,5.0
50651,3.0
50650,3.0
50648,4.0
50647,3.0
50645,4.0
50643,3.0
50641,5.0
50640,2.0
50639,2.0
50638,3.0
50637,3.5
50636,3.5
50635,3.5
50634,5.0
50633,4.0
50631,5.0
50630,4.0
50628,2.0
50627,4.0
50626,3.0
50625,3.0
50624,4.0
50623,3.5
50622,4.0
50620,4.0
50619,4.5
50618,3.0
50617,5.0
50616,5.0
50615,4.0
50614,2.5
50613,4.5
50611,3.0
50610,4.5
50609,4.0
50608,3.5
50606,5.0
50604,3.5
50603,4.0
50601,4.0
50600,3.0
50598,5.0
50597,4.0
50596,4.5
50595,3.0
50594,5.0
50593,4.0
50592,1.0
50590,4.0
50585,5.0
50583,3.0
50582,4.5
50580,5.0
50577,2.0
50576,2.5
50574,3.0
50573,5.0
50572,2.0
50570,5.0
50569,2.0
50568,4.0
50567,3.5
50566,4.0
50565,2.0
50563,5.0
50561,2.5
50560,3.0
50559,4.5
50558,5.0
50557,4.5
50556,4.0
50555,3.0
50553,4.0
50552,3.5
50551,0.5
50550,4.0
50549,3.5
50548,3.0
50546,5.0
50545,3.0
50543,2.0
50542,4.0
50541,3.5
50540,4.0
50539,4.0
50538,3.0
50536,3.5
50535,4.0
50533,3.5
50532,3.5
50531,5.0
50530,1.0
50529,4.5
50528,3.0
50527,4.0
50526,3.0
50525,5.0
50524,3.5
50523,4.0
50521,2.0
50520,4.0
50519,3.5
50518,3.0
50517,3.0
50516,5.0
50515,4.0
50512,4.0
50511,4.5
50509,3.0
50507,4.0
50506,5.0
50505,5.0
50504,4.0
50502,4.0
50501,4.5
50500,5.0
50499,4.0
50498,1.0
50495,4.5
50493,3.0
50491,4.5
50490,4.0
50489,4.0
50488,4.0
50486,4.0
50485,3.0
50484,4.0
50483,5.0
50482,3.0
50481,4.0
50480,3.5
50477,5.0
50475,4.5
50473,4.0
50472,3.0
50471,3.0
50469,2.5
50466,3.5
50465,4.0
50463,2.0
50462,4.0
50461,5.0
50459,4.5
50458,4.0
50456,3.0
50455,4.0
50454,1.0
50453,2.5
50452,4.0
50451,4.5
50450,2.0
50449,3.0
50448,4.0
50446,4.0
50445,2.5
50444,2.0
50443,3.0
50442,3.5
50440,4.0
50439,1.0
50438,4.0
50437,5.0
50436,3.5
50435,4.0
50434,5.0
50433,5.0
50432,2.5
50430,3.5
50429,4.0
50428,4.0
50427,4.0
50426,2.0
50425,4.0
50424,3.5
50422,4.0
50421,3.5
50419,2.0
50417,4.5
50416,3.0
50414,3.0
50413,3.5
50412,4.0
50411,4.0
50410,3.0
50408,1.0
50407,4.0
50406,5.0
50405,3.0
50404,4.0
50402,2.5
50401,4.0
50400,4.0
50399,2.0
50398,3.0
50397,2.5
50396,3.0
50395,3.0
50394,1.0
50393,3.0
50391,2.5
50390,3.0
50389,4.5
50388,4.0
50386,5.0
50383,4.5
50382,4.0
50381,5.0
50380,4.0
50379,5.0
50378,4.0
50377,5.0
50376,4.5
50374,4.0
50373,4.0
50372,4.0
50371,5.0
50370,4.0
50368,3.0
50367,4.5
50365,4.0
50363,5.0
50362,4.0
50361,4.0
50360,1.5
50359,2.0
50358,4.0
50357,4.5
50356,4.0
50355,4.0
50354,4.0
50352,3.0
50351,1.0
50350,3.5
50349,3.5
50348,3.0
50347,3.5
50344,4.0
50343,4.5
50341,5.0
50338,4.0
50337,5.0
50336,4.0
50335,4.0
50332,3.0
50329,4.0
50327,4.0
50326,3.5
50325,4.0
50324,5.0
50323,2.5
50322,4.0
50321,4.0
50320,3.5
50318,1.0
50317,5.0
50316,3.0
50315,3.5
50314,5.0
50313,2.0
50312,4.0
50310,3.5
50307,3.5
50306,3.0
50305,4.0
50304,5.0
50302,4.0
50301,4.0
50300,4.0
50299,5.0
50298,4.0
50297,5.0
50296,5.0
50295,3.0
50294,4.0
50293,4.0
50292,5.0
50291,3.0
50290,5.0
50287,5.0
50285,2.0
50284,3.0
50283,4.0
50281,2.0
50280,4.0
50278,3.5
50276,5.0
50275,2.0
50274,0.5
50273,4.0
50272,3.0
50270,1.0
50269,4.0
50268,4.0
50267,3.0
50266,2.0
50265,2.0
50263,4.0
50261,4.5
50260,1.0
50258,5.0
50256,1.5
50255,4.0
50254,4.0
50253,3.5
50250,3.5
50249,3.5
50248,2.0
50247,3.0
50246,2.5
50245,3.0
50244,3.0
50243,4.0
50242,4.0
50241,3.0
50240,4.0
50239,3.0
50238,3.0
50237,3.0
50234,4.0
50233,3.0
50232,2.0
50231,2.0
50230,4.0
50229,3.0
50228,3.0
50227,5.0
50225,3.5
50224,5.0
50223,3.0
50222,1.0
50221,3.5
50220,5.0
50219,2.0
50218,2.0
50215,3.0
50214,5.0
50212,4.0
50211,4.0
50210,4.0
50209,1.0
50208,4.0
50207,5.0
50205,4.5
50204,4.0
50203,5.0
50202,3.0
50201,3.0
50200,2.0
50199,4.0
50198,4.0
50197,4.5
50196,4.0
50195,4.0
50194,4.0
50192,4.5
50190,5.0
50189,3.5
50188,4.0
50187,3.5
50185,2.0
50184,3.0
50183,4.0
50182,3.5
50181,3.0
50180,4.0
50178,4.5
50177,4.0
50175,2.0
50174,3.0
50173,5.0
50172,3.5
50170,3.5
50167,3.0
50164,3.5
50163,2.0
50162,1.0
50160,3.5
50159,5.0
50158,3.5
50155,4.0
50154,3.5
50151,3.5
50150,4.0
50149,5.0
50148,4.0
50144,5.0
50141,2.0
50140,4.5
50139,5.0
50138,1.0
50137,3.5
50134,3.5
50133,3.5
50132,4.0
50130,3.5
50129,4.0
50128,5.0
50127,5.0
50126,4.0
50124,4.0
50123,4.5
50122,2.5
50120,5.0
50119,3.0
50117,3.0
50116,3.0
50114,4.0
50113,5.0
50112,5.0
50111,3.0
50109,2.0
50108,5.0
50105,4.0
50104,4.0
50103,3.5
50102,4.0
50101,4.0
50100,4.0
50099,3.0
50098,5.0
50096,4.0
50095,4.0
50094,3.0
50093,3.0
50092,4.0
50091,5.0
50090,4.0
50089,1.0
50088,3.0
50087,2.0
50086,2.0
50084,3.0
50082,3.0
50081,4.0
50080,3.5
50079,3.5
50078,4.0
50077,4.0
50076,2.5
50075,5.0
50074,4.0
50073,4.0
50072,4.0
50071,4.0
50070,4.0
50069,2.0
50068,1.0
50067,1.5
50065,5.0
50064,3.5
50063,4.0
50062,4.5
50060,4.5
50059,3.0
50058,4.0
50057,4.0
50055,2.0
50053,5.0
50052,5.0
50051,5.0
50049,3.0
50047,4.0
50046,4.0
50045,4.0
50044,2.0
50043,3.0
50042,5.0
50041,3.0
50039,1.5
50038,5.0
50037,3.5
50035,4.0
50034,4.0
50033,5.0
50032,4.0
50031,4.0
50030,4.0
50029,4.0
50027,5.0
50026,4.0
50025,3.5
50024,3.5
50022,4.0
50020,4.0
50018,2.5
50017,2.0
50015,3.5
50014,4.5
50013,5.0
50012,4.5
50011,1.5
50010,4.0
50007,5.0
50006,4.5
50005,5.0
50004,5.0
50002,4.5
50000,1.0
49999,3.0
49998,4.0
49997,2.0
49995,4.0
49994,4.0
49993,4.0
49991,4.0
49990,4.5
49989,3.0
49988,3.0
49987,1.0
49986,5.0
49984,3.5
49983,3.0
49982,5.0
49981,3.5
49979,3.5
49978,5.0
49977,2.5
49976,5.0
49974,4.0
49973,3.0
49972,5.0
49968,5.0
49967,4.5
49965,4.5
49964,4.0
49963,3.5
49962,3.0
49961,3.0
49960,4.0
49958,3.5
49956,5.0
49955,3.0
49954,4.0
49953,3.0
49952,5.0
49951,3.0
49950,4.0
49949,4.0
49948,4.0
49946,3.0
49945,3.5
49944,2.5
49943,3.5
49940,3.0
49939,2.0
49938,4.0
49937,5.0
49935,2.0
49932,2.5
49931,4.5
49930,4.5
49929,4.0
49928,5.0
49927,3.0
49926,4.0
49924,3.5
49923,4.0
49922,4.0
49921,4.0
49920,4.5
49919,1.0
49918,4.0
49917,4.0
49916,4.5
49915,4.0
49914,4.0
49913,3.0
49911,4.0
49910,1.0
49909,4.0
49908,4.0
49907,4.0
49906,4.5
49904,4.0
49903,3.0
49901,4.0
49900,3.5
49897,3.0
49896,4.0
49895,3.5
49892,3.5
49891,4.0
49890,3.5
49887,3.0
49886,4.5
49885,5.0
49883,3.0
49881,4.0
49880,4.0
49879,3.0
49878,0.5
49877,3.5
49876,2.0
49875,3.0
49873,3.0
49871,3.5
49870,3.0
49869,2.0
49868,3.5
49867,4.0
49866,3.0
49864,4.0
49863,3.5
49862,4.0
49861,2.0
49860,2.0
49859,3.0
49857,3.0
49856,5.0
49855,3.0
49854,4.0
49853,3.0
49852,5.0
49850,4.0
49848,4.0
49846,5.0
49845,3.5
49844,3.0
49843,3.5
49842,3.0
49840,2.5
49839,4.5
49837,5.0
49836,3.0
49835,3.5
49834,3.0
49832,5.0
49830,4.5
49829,4.0
49827,3.5
49826,3.0
49825,4.5
49824,4.0
49823,3.5
49821,3.0
49820,1.5
49819,4.0
49818,3.0
49817,5.0
49816,4.0
49814,3.0
49813,4.5
49812,4.5
49811,3.0
49809,4.0
49807,3.0
49806,2.0
49805,1.5
49804,3.0
49803,5.0
49802,2.0
49801,3.0
49800,3.0
49799,4.5
49798,1.0
49797,4.0
49796,5.0
49795,4.0
49794,5.0
49792,4.0
49790,5.0
49789,3.0
49788,5.0
49787,3.5
49786,5.0
49785,4.0
49783,4.5
49782,4.0
49781,4.5
49780,3.0
49779,3.0
49778,5.0
49777,1.5
49775,4.0
49774,3.0
49773,3.0
49772,4.0
49771,4.0
49770,4.0
49769,5.0
49768,3.5
49767,2.5
49766,2.0
49764,3.0
49763,2.0
49762,5.0
49761,4.5
49759,1.0
49758,3.0
49757,4.0
49756,3.0
49755,5.0
49754,5.0
49752,3.5
49750,3.0
49749,3.0
49748,1.5
49747,1.0
49746,4.0
49744,4.0
49743,4.0
49742,3.5
49740,4.5
49738,3.0
49737,2.0
49736,4.0
49734,4.0
49733,4.0
49732,4.0
49731,4.0
49730,5.0
49729,1.0
49728,1.0
49727,4.0
49726,4.0
49725,4.0
49724,2.5
49723,4.0
49722,4.5
49721,3.5
49720,5.0
49719,1.0
49718,4.5
49717,3.5
49716,4.0
49715,4.0
49713,4.0
49712,2.5
49710,2.0
49709,3.0
49708,5.0
49707,4.5
49706,3.0
49704,2.5
49703,4.0
49702,3.0
49700,2.5
49698,2.0
49697,1.0
49696,3.5
49695,2.5
49694,1.0
49693,4.5
49692,4.0
49691,0.5
49690,5.0
49689,3.0
49688,3.0
49687,4.0
49686,5.0
49685,2.0
49684,5.0
49683,3.0
49682,4.0
49681,3.5
49679,4.0
49678,4.0
49677,0.5
49676,3.0
49674,3.0
49672,4.0
49671,4.0
49670,4.0
49669,4.0
49668,3.5
49667,3.0
49666,4.0
49665,3.5
49663,5.0
49661,5.0
49660,2.5
49659,4.0
49657,3.0
49656,3.0
49655,4.0
49654,4.0
49652,4.0
49651,5.0
49650,4.0
49649,3.0
49647,1.0
49646,4.0
49645,4.0
49644,5.0
49643,4.5
49642,4.5
49640,5.0
49639,2.0
49638,1.5
49637,2.0
49635,5.0
49634,4.0
49633,4.0
49631,3.0
49630,4.0
49629,2.0
49627,4.5
49626,3.0
49625,3.0
49624,4.0
49623,3.5
49621,3.0
49620,4.0
49619,4.5
49618,1.0
49617,4.0
49616,3.0
49615,2.5
49614,3.0
49613,3.0
49612,3.0
49611,4.0
49610,2.0
49609,2.5
49608,3.5
49607,5.0
49606,3.5
49605,3.0
49604,4.0
49603,2.0
49602,4.0
49601,3.0
49599,3.0
49598,3.0
49597,4.0
49596,3.5
49595,4.0
49594,2.5
49593,4.5
49592,2.5
49590,3.5
49588,4.0
49587,5.0
49586,4.0
49585,4.0
49583,3.0
49582,3.5
49581,3.0
49580,4.0
49579,4.0
49578,4.0
49577,5.0
49576,3.5
49574,3.5
49573,5.0
49572,5.0
49571,3.0
49570,3.0
49569,3.5
49568,3.0
49567,1.0
49566,4.0
49565,3.5
49564,3.0
49563,0.5
49562,4.0
49560,4.0
49559,4.5
49558,3.0
49557,4.0
49556,3.0
49555,4.0
49554,5.0
49553,5.0
49552,3.0
49551,1.0
49549,2.5
49548,2.5
49546,4.0
49545,4.0
49544,4.0
49543,4.0
49541,2.0
49539,2.5
49538,5.0
49537,5.0
49536,4.0
49534,4.0
49533,3.0
49532,4.0
49531,3.0
49530,3.0
49528,3.0
49527,5.0
49524,3.0
49522,2.0
49521,4.5
49520,4.0
49519,3.0
49518,4.0
49516,2.5
49515,4.0
49514,2.0
49512,3.0
49511,2.0
49509,4.0
49508,2.0
49507,3.5
49506,4.0
49505,4.0
49504,0.5
49503,4.0
49501,4.0
49498,4.0
49497,3.0
49495,5.0
49494,5.0
49492,3.5
49491,4.5
49489,3.0
49488,3.0
49487,2.0
49486,3.0
49483,5.0
49482,4.0
49481,3.0
49479,1.0
49478,2.5
49477,4.5
49476,2.0
49475,5.0
49474,4.0
49473,5.0
49472,0.5
49471,4.0
49469,3.0
49468,3.0
49467,5.0
49466,2.0
49465,1.5
49464,4.0
49462,3.0
49461,4.0
49460,3.0
49459,4.0
49458,3.5
49457,4.0
49456,5.0
49455,5.0
49453,5.0
49452,2.0
49450,1.0
49449,4.0
49448,3.0
49447,4.0
49446,4.0
49445,4.5
49444,3.5
49442,5.0
49440,0.5
49439,5.0
49438,5.0
49437,4.0
49436,5.0
49434,3.5
49432,4.0
49431,1.0
49429,4.5
49428,5.0
49426,4.5
49425,4.5
49424,4.0
49423,3.0
49422,2.0
49421,5.0
49420,4.0
49419,4.0
49418,4.0
49417,3.5
49416,3.0
49415,0.5
49414,4.0
49413,4.0
49412,4.0
49411,5.0
49410,4.5
49409,5.0
49408,1.5
49407,3.0
49405,1.0
49404,5.0
49403,3.5
49402,4.0
49401,4.0
49400,3.0
49399,2.5
49398,3.0
49396,5.0
49395,5.0
49394,4.0
49393,3.0
49391,2.5
49388,2.0
49387,2.5
49386,3.0
49385,5.0
49384,4.0
49382,4.0
49381,3.0
49379,3.5
49378,5.0
49377,2.5
49375,5.0
49374,4.0
49373,5.0
49372,4.0
49370,4.5
49369,1.5
49367,3.0
49366,4.0
49365,3.0
49364,4.0
49363,4.0
49360,4.0
49359,5.0
49358,4.0
49357,4.5
49355,4.0
49354,5.0
49353,4.5
49352,4.0
49351,4.0
49350,2.0
49349,4.0
49348,3.5
49347,3.0
49346,4.0
49345,3.0
49343,1.5
49342,3.5
49341,3.0
49340,3.0
49339,4.0
49338,2.0
49336,2.5
49335,5.0
49334,4.0
49333,1.0
49331,4.5
49330,3.0
49328,3.0
49327,3.0
49326,3.0
49325,4.0
49324,5.0
49322,4.0
49321,4.5
49320,3.0
49318,4.0
49317,4.0
49315,5.0
49314,5.0
49313,5.0
49312,4.0
49311,3.0
49310,3.0
49309,4.0
49308,3.0
49307,4.0
49306,1.5
49304,4.5
49303,2.0
49302,1.5
49301,3.5
49300,4.5
49299,4.5
49297,3.0
49296,3.5
49295,4.0
49293,5.0
49292,5.0
49291,4.0
49290,4.0
49289,3.0
49288,3.0
49286,4.0
49285,3.0
49281,5.0
49280,3.5
49279,5.0
49278,4.0
49277,3.0
49275,0.5
49273,4.0
49272,2.5
49271,4.0
49270,4.5
49269,1.5
49268,1.0
49266,3.0
49265,2.5
49263,3.0
49262,3.0
49261,3.0
49259,4.0
49258,3.0
49257,5.0
49256,3.5
49255,4.0
49254,2.0
49253,3.0
49252,4.5
49251,4.0
49250,3.0
49249,2.0
49246,4.5
49245,4.5
49242,4.0
49240,3.0
49239,5.0
49238,4.0
49237,3.0
49236,3.0
49235,3.0
49233,4.5
49232,3.0
49231,3.0
49230,4.0
49229,3.0
49227,4.0
49225,4.0
49224,5.0
49223,2.0
49222,4.5
49221,2.0
49220,4.0
49219,0.5
49218,2.0
49217,1.0
49216,2.0
49215,2.5
49214,3.5
49213,1.5
49212,4.0
49211,5.0
49209,3.5
49208,5.0
49206,3.5
49205,2.0
49203,3.0
49202,3.5
49201,4.0
49200,2.0
49199,5.0
49198,3.5
49196,3.0
49195,4.0
49194,5.0
49193,3.0
49192,5.0
49191,4.0
49190,2.5
49189,3.5
49187,3.5
49186,3.0
49185,3.5
49184,2.0
49183,3.0
49182,3.0
49181,3.0
49180,4.0
49178,3.5
49177,4.5
49176,4.0
49175,3.5
49174,3.5
49173,4.5
49171,2.5
49169,3.0
49166,3.0
49165,1.0
49163,2.0
49162,2.5
49161,5.0
49160,3.0
49159,4.0
49158,3.0
49157,3.0
49156,3.5
49155,4.5
49152,3.5
49151,2.0
49150,3.5
49149,4.0
49148,2.5
49147,4.5
49146,4.0
49145,4.0
49144,4.0
49143,5.0
49142,2.0
49141,4.0
49140,4.0
49139,2.0
49138,3.0
49137,3.5
49135,4.5
49134,0.5
49133,4.0
49132,4.0
49131,2.5
49130,4.0
49128,4.0
49126,5.0
49125,3.0
49124,4.5
49123,3.5
49122,3.5
49121,5.0
49119,2.0
49118,5.0
49117,3.5
49116,2.5
49115,4.0
49113,4.0
49111,5.0
49110,4.0
49109,4.5
49108,4.0
49107,5.0
49106,4.0
49105,2.0
49104,5.0
49103,3.0
49102,4.0
49101,2.0
49100,2.5
49099,1.0
49098,4.0
49097,4.0
49096,3.5
49093,5.0
49092,3.0
49091,4.0
49090,5.0
49089,1.5
49087,4.5
49086,3.5
49085,4.0
49084,4.5
49082,2.0
49081,5.0
49080,5.0
49079,4.0
49078,4.5
49077,4.0
49076,3.5
49075,3.5
49073,5.0
49072,5.0
49071,2.5
49069,4.0
49068,4.0
49067,3.0
49066,2.0
49065,4.0
49064,2.5
49063,4.0
49062,4.0
49061,4.5
49060,3.0
49059,4.0
49057,1.0
49056,4.0
49055,3.0
49052,3.0
49051,4.0
49050,5.0
49049,3.0
49048,4.5
49047,5.0
49046,1.0
49045,4.0
49044,4.5
49043,4.0
49042,3.0
49040,3.5
49039,4.0
49038,4.0
49036,4.0
49035,4.0
49033,2.0
49032,5.0
49030,1.0
49029,2.5
49026,3.0
49025,4.0
49024,3.5
49022,5.0
49021,3.0
49020,3.0
49019,3.0
49018,1.0
49017,3.0
49016,3.0
49015,3.0
49014,4.0
49013,4.0
49012,4.0
49011,4.0
49010,4.5
49009,4.5
49007,3.0
49006,3.5
49005,4.5
49004,5.0
49003,4.0
49002,4.0
48999,4.5
48998,3.0
48997,3.5
48996,3.0
48995,4.0
48993,3.0
48992,3.0
48991,2.5
48990,3.0
48989,4.5
48988,4.0
48987,2.5
48986,3.0
48985,4.0
48984,4.0
48983,4.0
48982,2.0
48981,4.0
48980,3.0
48978,3.0
48977,4.0
48976,4.0
48975,3.0
48974,5.0
48972,2.0
48971,4.0
48970,4.5
48969,4.0
48968,5.0
48967,4.0
48966,4.0
48965,5.0
48964,3.0
48963,5.0
48962,5.0
48961,4.0
48960,3.5
48959,3.0
48958,3.0
48957,4.0
48955,5.0
48953,5.0
48952,4.5
48951,3.5
48949,3.5
48947,4.0
48946,4.0
48944,3.5
48943,3.0
48942,3.5
48940,1.5
48939,2.0
48938,4.0
48937,3.0
48936,4.0
48935,4.0
48934,4.5
48932,5.0
48929,3.5
48928,4.0
48927,4.0
48926,1.5
48925,4.0
48924,1.0
48923,4.0
48922,3.0
48920,4.0
48919,4.0
48917,4.0
48916,2.0
48915,4.0
48914,3.0
48912,4.0
48911,4.0
48910,3.5
48909,5.0
48908,4.0
48907,3.5
48906,3.0
48905,4.0
48904,4.0
48903,4.0
48902,2.5
48901,2.0
48900,3.0
48897,4.0
48896,5.0
48895,1.0
48893,4.0
48892,0.5
48890,4.0
48888,1.0
48887,4.5
48886,4.0
48885,3.0
48884,2.0
48883,4.0
48881,3.5
48880,3.5
48879,4.0
48878,1.0
48876,4.0
48875,4.0
48874,2.0
48873,3.5
48872,4.0
48871,4.0
48868,4.0
48867,4.0
48861,3.0
48860,3.0
48858,4.5
48857,4.0
48856,1.0
48853,5.0
48852,3.5
48851,5.0
48850,5.0
48849,4.0
48848,4.0
48847,4.0
48846,2.0
48845,4.0
48843,5.0
48842,4.5
48841,3.0
48838,3.0
48837,2.0
48835,2.0
48834,1.0
48833,2.0
48832,4.0
48830,4.0
48829,4.5
48828,4.0
48827,3.0
48826,2.0
48825,3.0
48822,3.5
48821,1.0
48820,3.0
48819,4.5
48818,4.5
48817,2.0
48815,4.0
48812,3.0
48810,0.5
48807,3.5
48806,2.5
48803,0.5
48802,2.0
48800,4.0
48799,4.0
48798,5.0
48797,3.0
48795,3.0
48794,4.0
48792,4.5
48791,3.0
48790,4.0
48789,4.0
48788,4.0
48787,4.0
48785,4.5
48784,4.0
48782,4.0
48781,3.0
48780,5.0
48779,5.0
48778,5.0
48776,4.0
48774,2.0
48771,1.0
48770,4.0
48769,2.0
48768,5.0
48766,1.0
48765,2.5
48764,4.0
48763,4.0
48762,5.0
48761,5.0
48760,4.0
48759,3.0
48758,5.0
48757,5.0
48756,4.0
48755,4.0
48754,2.0
48753,4.0
48752,4.5
48750,4.0
48749,3.0
48748,3.5
48747,4.5
48746,4.0
48745,3.5
48743,2.0
48742,3.0
48740,3.5
48737,3.5
48736,4.0
48735,4.0
48734,4.0
48732,5.0
48731,4.0
48730,4.0
48727,3.5
48726,4.0
48725,4.0
48724,3.0
48722,3.0
48721,4.0
48720,3.5
48719,4.0
48718,1.0
48717,3.5
48716,1.0
48715,3.0
48713,3.5
48712,4.0
48711,5.0
48710,2.0
48709,4.0
48708,5.0
48707,4.0
48706,4.0
48703,5.0
48702,5.0
48701,3.5
48700,3.5
48699,3.0
48698,3.0
48697,2.0
48696,2.0
48695,3.0
48694,5.0
48693,3.0
48692,4.0
48691,4.0
48689,5.0
48687,4.0
48686,4.5
48683,3.5
48682,4.0
48681,3.5
48680,4.0
48679,3.0
48678,3.0
48676,5.0
48675,3.5
48674,3.0
48673,2.0
48672,3.5
48670,2.0
48669,4.0
48668,3.0
48666,4.0
48665,2.5
48664,3.5
48663,3.0
48662,3.0
48661,4.0
48660,3.0
48659,2.5
48658,3.5
48657,3.0
48655,3.5
48654,4.5
48653,5.0
48652,3.0
48651,3.0
48649,2.0
48648,4.5
48647,4.0
48646,5.0
48645,4.0
48644,4.0
48642,4.0
48641,3.0
48640,4.0
48638,4.0
48637,3.0
48636,5.0
48633,2.0
48632,4.0
48631,3.0
48630,2.0
48629,3.5
48628,3.5
48627,5.0
48626,4.0
48625,4.0
48624,4.5
48623,4.0
48622,4.5
48621,3.5
48620,3.0
48619,4.0
48618,5.0
48617,4.0
48616,5.0
48615,3.0
48614,4.0
48613,3.0
48612,4.0
48611,4.0
48610,4.5
48609,5.0
48605,4.0
48604,1.0
48603,3.0
48602,5.0
48601,4.0
48600,4.0
48599,3.0
48598,2.0
48597,3.0
48596,2.5
48594,2.5
48593,4.0
48592,5.0
48590,3.0
48589,4.0
48588,2.5
48587,3.5
48585,4.0
48584,3.0
48583,4.0
48582,4.0
48581,3.5
48580,2.5
48579,4.0
48578,4.0
48577,3.0
48576,4.0
48575,3.5
48573,4.0
48572,3.0
48571,5.0
48569,3.0
48567,1.5
48566,4.0
48565,3.0
48564,3.5
48563,4.0
48562,4.0
48561,4.5
48560,3.0
48559,4.0
48558,4.0
48557,5.0
48555,3.0
48554,5.0
48553,3.0
48552,3.5
48551,3.5
48550,2.0
48549,2.0
48548,4.0
48547,4.0
48546,4.0
48545,3.0
48543,3.0
48542,1.5
48539,4.0
48538,5.0
48537,2.0
48536,4.0
48535,3.5
48534,4.0
48533,4.5
48532,0.5
48531,4.0
48530,3.0
48529,0.5
48528,1.0
48527,4.0
48526,4.0
48525,3.5
48524,3.0
48523,5.0
48521,2.5
48520,2.0
48519,3.0
48518,3.5
48517,3.0
48516,4.0
48515,5.0
48514,3.5
48513,4.0
48512,3.5
48511,5.0
48508,3.0
48507,5.0
48506,3.5
48505,4.0
48504,5.0
48503,5.0
48501,4.0
48500,4.5
48498,2.0
48497,3.5
48494,3.0
48493,3.5
48492,1.5
48491,3.0
48489,4.0
48487,3.5
48485,2.0
48483,0.5
48482,3.0
48481,2.0
48480,4.0
48479,2.0
48478,2.5
48475,5.0
48473,3.0
48472,4.0
48471,3.0
48470,3.0
48469,3.0
48468,2.0
48467,4.0
48466,4.0
48465,4.0
48463,2.0
48462,4.0
48461,2.0
48460,4.0
48459,3.5
48458,3.0
48457,4.0
48456,2.0
48455,4.0
48453,4.0
48452,2.0
48451,3.0
48449,3.0
48448,4.0
48447,5.0
48446,4.0
48445,3.5
48444,4.0
48443,2.0
48441,5.0
48440,4.0
48439,4.0
48438,4.0
48437,5.0
48436,5.0
48435,1.0
48434,2.5
48432,5.0
48431,3.0
48430,3.5
48427,5.0
48425,5.0
48423,3.0
48422,3.5
48421,4.0
48420,3.0
48419,3.0
48418,3.5
48417,3.5
48414,3.5
48413,5.0
48412,4.0
48411,5.0
48409,1.0
48408,4.0
48407,3.5
48406,5.0
48405,3.5
48404,3.5
48403,4.5
48402,3.5
48400,5.0
48399,3.0
48398,3.5
48397,5.0
48396,3.0
48395,4.0
48394,4.0
48393,4.0
48392,2.0
48391,5.0
48390,3.0
48389,4.0
48388,5.0
48387,4.0
48386,5.0
48383,4.0
48381,4.0
48380,5.0
48378,4.0
48376,4.5
48375,3.5
48374,3.0
48373,3.0
48372,4.5
48371,4.0
48369,3.0
48368,4.0
48367,4.0
48365,4.5
48364,3.0
48362,4.0
48358,3.0
48356,3.5
48355,1.0
48354,5.0
48353,5.0
48351,2.5
48350,4.0
48349,5.0
48348,5.0
48345,3.5
48343,4.0
48342,5.0
48341,3.5
48340,4.0
48338,3.5
48337,5.0
48335,4.5
48334,3.5
48333,4.0
